sensor_num,mean,std_dev,axis
0,-502,17,0
0,116,19,1
0,539,12,2
1,90,14,0
1,-163,20,1
1,697,17,2
2,-1362,15,0
2,-1653,15,1
2,296,15,2
3,-840,12,0
3,450,20,1
3,245,19,2
4,116,12,0
4,687,20,1
4,357,11,2
5,364,21,0
5,102,26,1
5,71,15,2
6,-79,16,0
6,-403,22,1
6,793,16,2
7,-123,12,0
7,406,14,1
7,464,14,2
8,488,17,0
8,-385,16,1
8,-252,20,2
9,-694,22,0
9,-114,13,1
9,866,15,2
10,28,22,0
10,330,11,1
10,334,18,2
11,-432,12,0
11,-387,15,1
11,222,17,2
12,-682,17,0
12,-248,16,1
12,818,17,2
13,20,14,0
13,-265,13,1
13,670,18,2
14,61,8,0
14,-842,22,1
14,295,21,2
15,592,16,0
15,277,16,1
15,252,14,2
16,268,21,0
16,541,19,1
16,-245,16,2
17,284,20,0
17,351,19,1
17,737,13,2
18,-374,20,0
18,301,18,1
18,527,23,2
19,-271,16,0
19,48,19,1
19,183,15,2
20,99,26,0
20,-179,12,1
20,-95,14,2
21,-790,11,0
21,-321,14,1
21,-12,22,2
22,464,13,0
22,123,14,1
22,391,17,2
23,689,13,0
23,881,14,1
23,-138,16,2
24,-12,12,0
24,562,16,1
24,639,18,2
25,-321,16,0
25,993,25,1
25,378,17,2
26,-631,14,0
26,934,16,1
26,1215,13,2
27,255,16,0
27,-778,14,1
27,157,23,2
28,-382,18,0
28,878,15,1
28,210,15,2
29,-640,12,0
29,-142,8,1
29,182,14,2
30,1063,13,0
30,330,18,1
30,567,13,2
31,-976,20,0
31,590,18,1
31,845,11,2
32,-826,11,0
32,132,16,1
32,64,15,2
33,118,12,0
33,-82,11,1
33,165,20,2
34,176,10,0
34,-365,13,1
34,-259,17,2
35,800,11,0
35,499,16,1
35,45,23,2
36,874,12,0
36,527,21,1
36,1178,16,2
37,-1404,25,0
37,547,22,1
37,409,16,2
38,-627,13,0
38,483,19,1
38,717,20,2
39,-338,13,0
39,824,20,1
39,720,17,2
40,361,18,0
40,-463,13,1
40,610,13,2
41,1299,20,0
41,-1093,25,1
41,780,16,2
42,268,20,0
42,1158,15,1
42,424,20,2
43,-740,18,0
43,-343,13,1
43,395,14,2
44,-204,18,0
44,763,23,1
44,785,14,2
