sensor_num,mean,std_dev,axis
0,348,19,0
0,-202,20,1
0,693,17,2
1,849,13,0
1,80,24,1
1,283,11,2
2,-4,9,0
2,-76,22,1
2,275,17,2
3,960,24,0
3,249,18,1
3,-93,15,2
4,1339,16,0
4,50,11,1
4,-237,7,2
5,274,16,0
5,-143,15,1
5,254,15,2
6,-291,16,0
6,398,15,1
6,2,16,2
7,1301,12,0
7,-115,17,1
7,-604,14,2
8,-409,15,0
8,1288,20,1
8,-247,15,2
9,978,20,0
9,-68,18,1
9,1346,24,2
10,385,12,0
10,-1343,16,1
10,-39,14,2
11,893,14,0
11,97,14,1
11,431,16,2
12,275,21,0
12,181,21,1
12,-291,18,2
13,371,19,0
13,79,15,1
13,556,14,2
14,1017,13,0
14,4,10,1
14,-443,11,2
15,-190,14,0
15,-1341,11,1
15,458,19,2
16,179,10,0
16,542,20,1
16,38,16,2
17,249,15,0
17,362,12,1
17,171,18,2
18,488,20,0
18,12,21,1
18,-718,14,2
19,937,15,0
19,379,12,1
19,426,13,2
20,67,15,0
20,331,16,1
20,561,12,2
21,1238,14,0
21,-329,16,1
21,-156,11,2
22,287,13,0
22,510,13,1
22,884,17,2
23,931,13,0
23,13,18,1
23,502,14,2
24,90,14,0
24,-224,25,1
24,354,10,2
25,-955,17,0
25,-460,12,1
25,-277,11,2
26,1423,19,0
26,72,18,1
26,376,14,2
27,1168,10,0
27,341,22,1
27,-98,14,2
28,1276,12,0
28,571,17,1
28,963,21,2
29,537,20,0
29,913,20,1
29,1035,13,2
30,490,14,0
30,164,18,1
30,521,10,2
31,291,17,0
31,993,18,1
31,250,12,2
32,152,12,0
32,-306,12,1
32,62,16,2
33,922,16,0
33,-192,14,1
33,128,14,2
34,132,18,0
34,804,14,1
34,768,12,2
35,1803,14,0
35,-634,17,1
35,244,12,2
36,-386,13,0
36,-1764,17,1
36,-654,19,2
37,208,16,0
37,-1365,16,1
37,-564,17,2
38,913,13,0
38,133,13,1
38,332,14,2
39,-440,16,0
39,-387,11,1
39,-832,14,2
40,525,16,0
40,916,17,1
40,-185,19,2
41,32,25,0
41,1023,19,1
41,-649,15,2
42,-400,11,0
42,452,18,1
42,-84,23,2
43,1676,11,0
43,814,10,1
43,559,15,2
44,311,21,0
44,-204,15,1
44,265,19,2
