sensor_num,mean,std_dev,axis
0,505,17,0
0,-171,13,1
0,577,10,2
1,975,17,0
1,95,12,1
1,189,14,2
2,137,19,0
2,-52,18,1
2,182,10,2
3,1128,14,0
3,259,17,1
3,-201,12,2
4,1483,14,0
4,80,16,1
4,-329,15,2
5,362,12,0
5,-136,18,1
5,179,21,2
6,-198,20,0
6,385,16,1
6,-54,16,2
7,1404,16,0
7,-95,19,1
7,-670,17,2
8,-318,21,0
8,1313,17,1
8,-299,14,2
9,1076,21,0
9,-55,13,1
9,1296,9,2
10,495,14,0
10,-1347,17,1
10,-94,11,2
11,1009,19,0
11,97,15,1
11,352,17,2
12,390,14,0
12,168,18,1
12,-355,17,2
13,474,15,0
13,49,17,1
13,489,17,2
14,1112,11,0
14,7,17,1
14,-500,12,2
15,-105,24,0
15,-1367,17,1
15,422,26,2
16,231,13,0
16,573,21,1
16,-4,18,2
17,304,16,0
17,351,14,1
17,97,14,2
18,550,17,0
18,21,5,1
18,-850,14,2
19,1001,13,0
19,379,10,1
19,358,13,2
20,104,17,0
20,376,13,1
20,468,17,2
21,1287,22,0
21,-299,20,1
21,-262,16,2
22,334,12,0
22,544,12,1
22,841,18,2
23,992,13,0
23,34,15,1
23,440,15,2
24,148,25,0
24,-203,24,1
24,299,23,2
25,-932,15,0
25,-414,17,1
25,-336,20,2
26,1441,15,0
26,92,20,1
26,341,17,2
27,1209,11,0
27,400,15,1
27,-109,15,2
28,1310,18,0
28,600,19,1
28,953,17,2
29,612,22,0
29,952,16,1
29,1030,14,2
30,566,14,0
30,176,12,1
30,528,17,2
31,365,12,0
31,1006,7,1
31,255,12,2
32,228,23,0
32,-286,10,1
32,66,15,2
33,1010,16,0
33,-190,12,1
33,144,18,2
34,221,15,0
34,834,18,1
34,772,16,2
35,1857,14,0
35,-636,14,1
35,242,15,2
36,-298,13,0
36,-1782,8,1
36,-637,10,2
37,298,17,0
37,-1347,14,1
37,-591,23,2
38,965,18,0
38,128,20,1
38,335,14,2
39,-406,19,0
39,-386,24,1
39,-836,14,2
40,567,15,0
40,901,17,1
40,-176,10,2
41,75,17,0
41,1061,16,1
41,-657,20,2
42,-341,14,0
42,456,16,1
42,-94,20,2
43,1757,9,0
43,810,15,1
43,586,17,2
44,354,13,0
44,-201,26,1
44,281,12,2
