sensor_num,mean,std_dev,axis
0,-204,19,0
0,1173,14,1
0,153,18,2
1,-167,13,0
1,1054,17,1
1,-139,19,2
2,650,18,0
2,-1147,24,1
2,-145,16,2
3,-264,20,0
3,-110,17,1
3,508,15,2
4,-9,13,0
4,132,10,1
4,216,18,2
5,325,11,0
5,-304,19,1
5,421,21,2
6,-279,21,0
6,777,11,1
6,427,12,2
7,460,13,0
7,149,12,1
7,543,14,2
8,-93,13,0
8,-387,13,1
8,117,7,2
9,-3,16,0
9,23,15,1
9,-305,15,2
10,129,10,0
10,176,12,1
10,609,16,2
11,-135,10,0
11,96,19,1
11,609,18,2
12,-576,18,0
12,445,16,1
12,-590,16,2
13,279,16,0
13,357,15,1
13,-67,15,2
14,78,21,0
14,115,15,1
14,446,16,2
15,863,19,0
15,-1163,16,1
15,336,22,2
16,-189,14,0
16,926,14,1
16,769,17,2
17,291,16,0
17,58,10,1
17,74,13,2
18,562,21,0
18,89,20,1
18,-28,17,2
19,683,15,0
19,38,14,1
19,-171,15,2
20,-510,18,0
20,511,21,1
20,-143,15,2
21,-344,17,0
21,363,15,1
21,465,16,2
22,1170,18,0
22,113,12,1
22,-399,14,2
23,385,8,0
23,214,17,1
23,760,17,2
24,-132,12,0
24,677,19,1
24,-564,22,2
25,133,15,0
25,1120,12,1
25,196,14,2
26,-177,20,0
26,1066,20,1
26,210,15,2
27,-138,16,0
27,346,19,1
27,-51,19,2
28,43,20,0
28,1105,21,1
28,-235,19,2
29,-46,15,0
29,901,12,1
29,131,18,2
30,-885,9,0
30,-297,13,1
30,-12,12,2
31,-708,13,0
31,-337,20,1
31,684,16,2
32,311,14,0
32,-17,16,1
32,358,17,2
33,-389,15,0
33,905,18,1
33,264,18,2
34,347,16,0
34,102,16,1
34,285,16,2
35,221,13,0
35,-542,15,1
35,810,16,2
36,-549,16,0
36,-290,10,1
36,494,9,2
37,207,16,0
37,263,17,1
37,210,20,2
38,-1,16,0
38,195,19,1
38,719,13,2
39,644,16,0
39,-221,19,1
39,231,16,2
40,62,15,0
40,1051,19,1
40,234,13,2
41,-198,13,0
41,279,18,1
41,58,16,2
42,-65,8,0
42,595,13,1
42,-156,24,2
43,789,20,0
43,-413,11,1
43,-138,13,2
44,-276,13,0
44,-687,10,1
44,-149,10,2
