sensor_num,mean,std_dev,axis
0,453,12,0
0,101,15,1
0,-54,13,2
1,-294,14,0
1,46,17,1
1,611,14,2
2,100,25,0
2,605,14,1
2,929,16,2
3,-84,12,0
3,-182,21,1
3,604,20,2
4,-81,13,0
4,917,20,1
4,-96,17,2
5,196,19,0
5,-411,16,1
5,-40,16,2
6,-570,11,0
6,251,17,1
6,266,21,2
7,-271,19,0
7,-137,12,1
7,-167,12,2
8,-517,15,0
8,-146,19,1
8,521,17,2
9,-357,16,0
9,211,19,1
9,11,11,2
10,-1291,24,0
10,495,20,1
10,148,15,2
11,-254,15,0
11,504,18,1
11,549,13,2
12,812,14,0
12,184,19,1
12,231,20,2
13,232,19,0
13,-1249,19,1
13,266,19,2
14,170,13,0
14,163,16,1
14,533,17,2
15,1105,18,0
15,-35,20,1
15,351,19,2
16,464,19,0
16,116,7,1
16,558,11,2
17,39,15,0
17,-114,16,1
17,618,15,2
18,-93,15,0
18,20,19,1
18,882,11,2
19,96,13,0
19,-453,8,1
19,723,18,2
20,853,17,0
20,-214,14,1
20,566,15,2
21,94,21,0
21,-689,18,1
21,508,13,2
22,215,22,0
22,1601,15,1
22,132,15,2
23,557,21,0
23,233,17,1
23,911,7,2
24,152,17,0
24,288,17,1
24,-265,15,2
25,-118,18,0
25,-98,17,1
25,746,15,2
26,-398,15,0
26,170,15,1
26,491,16,2
27,126,17,0
27,265,15,1
27,-125,15,2
28,256,23,0
28,37,12,1
28,236,18,2
29,-836,19,0
29,-175,15,1
29,463,17,2
30,663,15,0
30,-232,10,1
30,434,13,2
31,-631,15,0
31,-231,16,1
31,324,22,2
32,194,22,0
32,260,20,1
32,373,13,2
33,360,15,0
33,504,17,1
33,386,14,2
34,-370,23,0
34,266,14,1
34,714,16,2
35,1408,17,0
35,793,20,1
35,-238,19,2
36,1077,9,0
36,-62,19,1
36,-251,24,2
37,221,15,0
37,509,10,1
37,-31,20,2
38,219,18,0
38,43,12,1
38,533,20,2
39,600,21,0
39,515,11,1
39,757,16,2
40,-1335,17,0
40,-223,16,1
40,-248,17,2
41,113,12,0
41,-279,16,1
41,60,13,2
42,-361,14,0
42,133,13,1
42,979,20,2
43,-510,16,0
43,-234,9,1
43,-221,30,2
44,27,19,0
44,-1,22,1
44,183,23,2
